letter,notes
tai a,"(1) Citado por Saturnino Muniagurria. “El Guaraní (Elementos de Gramática Guaraní y Vocabulario de las voces más importantes de este Idioma)” (1967). Ed. Hachette, Buenos Aires."
tai a,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai ch,Notas
tai ch,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai d,Notas
tai d,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai e,Notas
tai e,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai f,Notas
tai f,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
