letter,notes
letra a,"(1) Isabel de Asuad, “Esto es Corrientes” (1980), Editorial Nueva Etapa, Corrientes."
letra a,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra b,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra c,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra d,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra e,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra f,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra g,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra h,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra i,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra j,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra l,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra m,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra n,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra ñ,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra o,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra p,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
